university;average exam score;rise/fall;number of enrolled students;no exams;average score minus individual achievements;link;link2
Нижегородский+гос.+педагогический+ун-т.+им.+Козьмы+Минина; 74.1; -1.4;700;0; Нет;https://mininuniver.ru/entrant;
Нижегородский+гос.+техн.+ун-т.+им.+Р.Е.+Алексеева; 68.5; -0.4;1238;0; Да;https://www.nntu.ru/structure/view/podrazdeleniya/priemnaya-komissiya;
Нижневартовский+гос.+ун-т.; 65.5; 1.6;402;0; Нет;https://abiturient.nvsu.ru/;
Нижнетагильский+гос.+социально-педагогический+ин-т.; 65.5;;433;0; Да;https://ntspi.ru/about_academy/the_structure_of_the_academy/department/admitting_commission/;
Новокузнецкий+ин-т.+(филиал)+Кемеровского+государственного+ун-т.а; 67.5; 0.8;381;0; Нет;https://xn--e1afnjf.xn--c1akev.xn--p1ai/;
Новосибирский+национальный+исследовательский+гос.+ун-т.; 87.0; -0.8;1288;87; Нет;https://www.nsu.ru/n/education/apply/;
Новосибирский+гос.+аграрный+ун-т.; 59.7;0;745;0; Да;https://nskvuz.com/nsau;
Новосибирский+гос.+архитектурно-строительный+ун-т.; 67.2; 0.5;649;0; Нет;http://www.sibstrin.ru/abitur/;
Новосибирский+гос.+педагогический+ун-т.; 69.9; -0.7;998;0; Да;https://nspu.ru/abiturientu/;
Новосибирский+гос.+медицинский+ун-т.; 74.6; 0.1;570;0; Да;https://ngmu.ru/abitur;
Новосибирский+гос.+техн.+ун-т.; 73.1; -0.9;2023;3; Да;https://www.nstu.ru/entrance/committee;
Новгородский+гос.+ун-т.+им.+Ярослава+Мудрого; 70.2; 0.3;948;2; Нет;https://www.novsu.ru/;
Кабардино-Балкарский+гос.+аграрный+ун-т.+им.+В.М.+Кокова; 45.4; -0.6;360;0; Нет;https://www.kbgau.ru/abiturient/;
Кабардино-Балкарский+гос.+ун-т.+им.+Х.М.+Бербекова,+г.+Нальчик; 72.0; 5.2;921;0; Нет;https://pk.kbsu.ru/;
Калининградский+гос.+техн.+ун-т.; 61.4; -4.6;515;0; Да;https://www.klgtu.ru/abitur/;
Калмыцкий+гос.+ун-т.,+г.+Элиста; 61.1; 1.9;729;0; Нет;https://www.kalmgu.ru/abitur/;
Калужский+гос.+ун-т.+им.+К.Э.+Циолковского; 75.2; 0.7;453;1; Нет;https://tksu.ru/;
Калужский+филиал+Московского+государственного+технического+ун-т.а+им.+Н.Э.+Баумана; 66.9; -0.3;531;0; Да;https://bmstu-kaluga.ru/postupayushchim/prijomnaya-komissiya;
Казанская+гос.+академия+ветеринарной+медицины+им.+Н.Э.+Баумана; 64.6;1;315;0; Да;https://kazanveterinary.ru/abitur/prepare_admission/;
Казанский+(Приволжский)+федеральный+ун-т.; 80.0; -0.5;2893;10; Да;https://admissions.kpfu.ru/;
Казанский+национальный+исследовательский+техн.+ун-т.+им.+А.Н.Туполева; 75.4; 0.1;1436;14; Да;https://abiturientu.kai.ru/;
Казанский+национальный+исследовательский+технол.+ун-т.; 67.0;-2;1819;0; Да;https://www.kstu.ru/1leveltest.jsp?idparent=2813;
Казанский+гос.+аграрный+ун-т.; 56.7;-3;360;0; Да;https://priem.kazgau.ru/;
Казанский+гос.+архитектурно-строительный+ун-т.; 76.5; 1.4;429;0; Да;https://www.kgasu.ru/applicant/;
Казанский+гос.+медицинский+ун-т.; 77.6; -3.1;509;8; Да;https://kazangmu.ru/priemcom;
Казанский+гос.+энергетический+ун-т.; 71.1; -1.4;1045;0; Да;https://kgeu.ru/Abitur;
Карачаево-Черкесский+гос.+ун-т.+им.+У.Д.+Алиева; 59.6; 2.5;368;0; Нет;https://moeobrazovanie.ru/kchgu?supply;
Кемеровский+гос.+медицинский+ун-т.; 67.5; -2.9;654;0; Да;https://kemsmu.ru/abitur/;
Кемеровский+гос.+ун-т.; 65.8; -0.1;1334;3; Нет;https://kemsmu.ru/abitur/;
Кировский+гос.+медицинский+ун-т.; 73.4; 0.5;375;0; Да;https://www.kirovgma.ru/obrazovanie/abiturientam/priem2020;
Комсомольский-на-Амуре+гос.+техн.+ун-т.; 58.4; -0.5;666;0; Нет;https://knastu.ru/n/2490;
Костромская+гос.+сельскохозяйственная+академия; 53.7; -0.8;360;0; Да;https://kgsxa.ru/abit;
Костромской+гос.+ун-т.; 66.0; -0.5;703;0; Да;https://ksu.edu.ru/;
Кубанский+гос.+аграрный+ун-т.+им.+И.Т.+Трубилина,+г.+Краснодар; 67.9; 1.4;1001;0; Нет;https://kubsau.ru/entrant/;
Кубанский+гос.+медицинский+ун-т.,+г.+Краснодар; 77.0; -1.9;525;0; Да;http://www.ksma.ru/abitur/;
Кубанский+гос.+технол.+ун-т.,+г.+Краснодар; 68.6; -2.2;977;1; Да;https://kubstu.ru/;
Кубанский+гос.+ун-т.,+г.+Краснодар; 76.6; 0.2;1766;7; Да;https://www.kubsu.ru/ru/abiturient/contacts;
Кузбасский+гос.+техн.+ун-т.+им.+Т.Ф.+Горбачева,+г.+Кемерово; 58.2; -1.4;826;0; Да;https://kuzstu.ru/department/priemnaya-komissiya/;
Курганский+гос.+ун-т.; 63.8;-1;697;0; Нет;https://abit.kgsu.ru/;
Курский+гос.+медицинский+ун-т.; 73.5; -0.3;551;0; Да;https://kurskmed.com/department/admission_commission/section/admission_commission_2021;
Курский+гос.+ун-т.; 68.9; 0.2;855;0; Да;https://kursksu.ru/abitur/;
Красноярский+гос.+аграрный+ун-т.; 53.7; 0.1;599;0; Нет;http://www.kgau.ru/new/abiturient/;
Красноярский+гос.+педагогический+ун-т.+им.+В.П.+Астафьева; 68.5; -0.6;712;1; Да;http://www.kspu.ru/;
Красноярский+гос.+медицинский+ун-т.+им.+В.Ф.+Войно-Ясенецкого; 70.4; -4.6;476;5; Да;https://krasgmu.ru/index.php?page[self]=abit_enter;
Крымский+инженерно-педагогический+ун-т.,+г.+Симферополь; 56.6;;720;0; Да;https://kipu-rc.ru/priemnaya-komissiya.html;
Крымский+федеральный+ун-т.+им.+В.И.+Вернадского; 64.7; -2.3;2520;2; Да;https://vk.com/pkcfu#:~:text=%D0%A1%20%D0%B2%D0%BE%D0%BF%D1%80%D0%BE%D1%81%D0%B0%D0%BC%D0%B8%20%D0%BF%D0%BE%20%D0%BF%D0%BE%D1%81%D1%82%D1%83%D0%BF%D0%BB%D0%B5%D0%BD%D0%B8%D1%8E%20%D0%BE%D0%B1%D1%80%D0%B0%D1%89%D0%B0%D1%82%D1%8C%D1%81%D1%8F,3652%2060%2D22%2D38.;
Майкопский+гос.+технол.+ун-т.; 60.4; 2.2;344;0; Нет;https://moeobrazovanie.ru/maygtu?supply;
Магнитогорский+гос.+техн.+ун-т.+им.+Г.И.+Носова; 64.8;1;1405;2; Нет;https://www.magtu.ru/abitur.html;
Марийский+гос.+ун-т.,+г.+Йошкар-Ола; 66.9; 1.2;1277;0; Нет;https://marsu.ru/;
МИРЭА+-+Российский+технол.+ун-т.; 81.5; 1.6;3031;54; Да;https://priem.mirea.ru/;
Мичуринский+гос.+аграрный+ун-т.; 53.8; -2.2;501;0; Нет;http://www.mgau.ru/about/departments/pk/;
Моск.+авиационный+ин-т.+(национальный+исследовательский+ун-т.); 78.5;1;2790;22; Да;https://priem.mai.ru/;
Моск.+автомобильно-дорожный+гос.+техн.+ун-т.+(МАДИ); 65.7; -0.5;794;1; Да;https://pk.madi.ru/;
Моск.+педагогический+гос.+ун-т.; 79.5; -0.5;1225;5; Да;http://mpgu.su/postuplenie/;
Моск.+политехн.+ун-т.; 76.1; 2.5;1756;35; Да;http://195.9.34.73/index.php?id=6453#:~:text=%D0%BC%D0%BD%D0%BE%D0%B3%D0%BE%D0%BA%D0%B0%D0%BD%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D1%85%20%D1%82%D0%B5%D0%BB%D0%B5%D1%84%D0%BE%D0%BD%D0%BE%D0%B2%3A%20(495)%20223,.php%3Fid%3D1333.;
Моск.+гос.+лингвистический+ун-т.; 89.6;0;532;48; Да;https://linguanet.ru/postupayushchim/informatsiya-priyemnoy-komissii/;
Моск.+гос.+ин-т.+международных+отношений; 96.7; 0.5;405;102; Да;https://abiturient.mgimo.ru/;
Моск.+гос.+областной+ун-т.; 73.8;1;840;14; Да;https://mgou.ru/abitur;
Моск.+гос.+психолого-педагогический+ун-т.; 79.3; 2.9;500;0; Нет;https://mgppu.ru/abitur;
Моск.+гос.+медико-стоматологический+ун-т.; 81.9; -0.3;642;23; Да;https://www.msmsu.ru/kontakty/priyemnaya-komissiya/;
Моск.+гос.+техн.+ун-т.+им.+Н.Э.+Баумана; 82.7; 0.8;3551;201; Да;http://bmstu.ru/;
Моск.+гос.+техн.+ун-т.+гражданской+авиации; 64.9; -0.6;575;0; Да;http://www.mstuca.ru/applicants/the_admissions_committee/;
"Моск.+гос.+технол.+ун-т.+""Станкин"""; 71.2; -0.5;829;3; Да;https://stankin.ru/abitur/;
Моск.+гос.+ун-т.+им.+М.В.+Ломоносова; 90.2; -0.6;3835;496; Да;http://cpk.msu.ru/;
Моск.+гос.+ун-т.+геодезии+и+картографии; 70.9; -2.8;467;2; Да;https://miigaik.ru/Abitur/;
Моск.+гос.+ун-т.+пищевых+производств; 76.8; 1.6;591;0; Да;https://mgupp.ru/abitur/;
Моск.+гос.+ун-т.+технологий+и+управления+им.+К.Г.+Разумовского+(Первый+казачий+ун-т.); 74.7; -6.2;322;0; Да;https://mgutm.ru/abiturient/;
Моск.+гос.+юридический+ун-т.+им.+О.Е.+Кутафина; 89.6; -0.3;809;79; Да;https://msal.ru/content/abiturientam/;
Моск.+городской+педагогический+ун-т.; 87.2; 1.7;1094;82; Да;https://www.mgpu.ru/priemnaya-komissiya/;
Моск.+техн.+ун-т.+связи+и+информатики; 75.1; -1.8;1022;18; Да;https://mtuci.ru/abitur/;
Моск.+физико-техн.+ин-т.; 97.1; -0.5;914;382; Да;https://pk.mipt.ru/;
Мордовский+гос.+педагогический+ин-т.+им.+М.Е.+Евсевьева,+г.+Саранск; 64.2; -0.6;575;0; Нет;https://www.mordgpi.ru/;
Морской+гос.+ун-т.+им.+адмирала+Г.И.+Невельского,+г.+Владивосток; 58.1; 1.5;444;0; Нет;https://www.msun.ru/ru/prospect;
Мытищинский+филиал+МГТУ+им.+Н.+Э.+Баумана+(МГУЛ); 64.4; 3.3;512;0; Да;https://mf.bmstu.ru/info/priem/;
Мурманский+гос.+техн.+ун-т.; 64.0; -1.4;408;0; Да;http://www.mstu.edu.ru/;
Забайкальский+гос.+ун-т.; 58.4; -1.8;818;0; Нет;http://zabgu.ru/php/rector_reception.php#:~:text=%D0%92%D0%B0%D1%88%D0%B8%20%D0%B2%D0%BE%D0%BF%D1%80%D0%BE%D1%81%D1%8B%20%D0%BE%20%D0%BF%D0%BE%D1%81%D1%82%D1%83%D0%BF%D0%BB%D0%B5%D0%BD%D0%B8%D0%B8%20%D0%B2,%2D35%2D16%2D35.;
Обнинский+ин-т.+атомной+энергетики+-+филиал+Национального+исследовательского+ядерного+ун-т.а+«МИФИ»; 73.4; -0.7;410;2; Да;https://mephi.ru/node/16367;
Омский+гос.+аграрный+ун-т.; 56.2; -0.6;721;0; Нет;https://www.omgau.ru/abiturientu/priemnaja_komissija/;
Омский+гос.+педагогический+ун-т.; 68.0; 0.5;704;0; Нет;https://omgpu.ru/priemnaya-komissiya-universiteta;
Омский+гос.+медицинский+ун-т.; 71.7; -1.8;395;0; Нет;https://omsk-osma.ru/postupayuschim;
Омский+гос.+техн.+ун-т.; 64.4; 0.9;1891;1; Нет;https://www.omgtu.ru/entrant/;
Омский+гос.+ун-т.+им.+Ф.М.+Достоевского; 70.3; -2.9;774;4; Да;https://omsu.ru/;
Омский+гос.+ун-т.+путей+сообщения; 54.8; -2.4;763;0; Нет;https://www.omgups.ru/abitur/;
Орловский+гос.+аграрный+ун-т.; 59.9;;438;0; Да;https://www.orelsau.ru/;
Орловский+гос.+ун-т.+им.+И.С.+Тургенева; 68.2; -0.9;1581;2; Нет;http://oreluniver.ru/pk;
Оренбургский+гос.+аграрный+ун-т.; 53.1;;533;0; Нет;https://orensau.ru/ru/abit/11-2010-11-10-08-45-30/7865-priemnaya-komissiya;
Оренбургский+гос.+педагогический+ун-т.; 72.5; -0.2;434;0; Нет;https://ospu.ru/;
Оренбургский+гос.+медицинский+ун-т.; 74.3;-1;540;0; Нет;https://omsk-osma.ru/ob-universitete/obschestvennaya-priemnaya#:~:text=%D0%9F%D0%BE%D1%87%D1%82%D0%BE%D0%B2%D1%8B%D0%B9%20%D0%B0%D0%B4%D1%80%D0%B5%D1%81%3A%20644043%2C%20%D0%B3.,%40omsk%2Dosma.ru.;
Оренбургский+гос.+ун-т.; 65.6; 0.4;1264;0; Нет;http://abiturient.osu.ru/;
Санкт-Петербургский+политехн.+ун-т.+Петра+Великого; 82.6; 0.2;2958;133; Да;https://www.spbstu.ru/applicants/admissions/;
Санкт-Петербургский+гос.+лесотехн.+ун-т.+им.+С.М.+Кирова; 75.0;0;543;0; Нет;https://spbftu.ru/abitur/;
Санкт-Петербургский+гос.+аграрный+ун-т.; 63.2; -3.5;386;0; Нет;https://spbgau.ru/entering/;
Санкт-Петербургский+гос.+архитектурно-строительный+ун-т.; 78.3; 0.4;1181;0; Нет;https://www.spbgasu.ru/Abiturientam/;
Санкт-Петербургский+гос.+педиатрический+медицинский+ун-т.; 80.5; -0.4;677;2; Да;https://gpmu.org/education/entrants/;
Санкт-Петербургский+гос.+морской+техн.+ун-т.; 71.6; 1.7;970;3; Нет;https://www.smtu.ru/;
Санкт-Петербургский+гос.+ун-т.; 92.0; 0.1;2136;366; Да;https://abiturient.spbu.ru/;
Санкт-Петербургский+гос.+ун-т.+аэрокосмического+приборостроения; 81.3; 3.8;1356;11; Нет;https://priem.guap.ru/;
Санкт-Петербургский+гос.+ун-т.+ветеринарной+медицины; 76.1; 2.2;409;0; Нет;https://spbguvm.ru/;
Санкт-Петербургский+гос.+ун-т.+гражданской+авиации; 76.2; 0.8;438;0; Нет;https://spbguga.ru/education/abiturientam/;
Санкт-Петербургский+гос.+ун-т.+промышленных+технологий+и+дизайна; 79.5; -1.1;906;208; Да;http://prouniver.ru/;
Санкт-Петербургский+гос.+ун-т.+телекоммуникаций+им.+М.А.+Бонч-Бруевича; 74.8; 0.7;921;0; Нет;http://priem.sut.ru/;
Санкт-Петербургский+гос.+электротехн.+ун-т.+“ЛЭТИ”; 82.9; 0.3;1517;15; Да;https://etu.ru/ru/abiturientam/;
Санкт-Петербургский+гос.+экономический+ун-т.; 85.7; -0.3;512;12; Да;https://unecon.ru/abitur;
Санкт-Петербургский+горный+ун-т.; 80.8; 2.3;1831;64; Нет;https://priem.spmi.ru/;
Таганрогский+ин-т.+им.+А.П.+Чехова+(филиал)+Ростовского+государственного+экономического+ун-т.а+(РИНХ); 62.4;-1;336;0; Да;https://www.tgpi.ru/;
Тамбовский+гос.+техн.+ун-т.; 59.4; -6.5;549;0; Нет;https://www.tstu.ru/r.php?r=postup.abitur.priem;
Тамбовский+гос.+ун-т.+им.+Г.Р.+Державина; 67.6; -0.9;929;0; Нет;https://www.tsutmb.ru/;
Самарский+национальный+исследовательский+ун-т.+им.+академика+С.П.+Королева; 75.0; -0.2;2016;16; Нет;https://ssau.ru/priem;
Самарский+гос.+аграрный+ун-т.; 54.2; -0.4;332;0; Нет;http://ssaa.ru/abitur;
Самарский+гос.+медицинский+ун-т.; 75.4; -2.3;763;1; Да;https://samsmu.ru/entrants/vo/;
Самарский+гос.+техн.+ун-т.; 68.1;1;2012;6; Нет;https://samgtu.ru/admission;
Самарский+гос.+ун-т.+путей+сообщения; 54.5; -0.2;685;0; Нет;https://www.samgups.ru/;
Самарский+гос.+социально-педагогический+ун-т.; 71.1; -0.6;655;1; Нет;https://www.pgsga.ru/abitur/;
Сахалинский+гос.+ун-т.,+г.+Южно-Сахалинск; 58.8; -1.3;327;1; Нет;http://sakhgu.ru/struktura-vuza/administrativnye_podrazdeleniya/pk/;
Саратовская+гос.+юридическая+академия; 79.8;-1;536;0; Да;http://xn--80af5bzc.xn--p1ai/ru/pko2019;
Саратовский+национальный+исследовательский+гос.+ун-т.+им.+Н.+Г.+Чернышевского; 69.9; 1.2;1568;3; Да;https://www.sgu.ru/admission;
Саратовский+гос.+аграрный+ун-т.+им.+Н.И.+Вавилова; 55.2; -2.9;758;0; Нет;https://www.sgau.ru/abitur/;
Саратовский+гос.+медицинский+ун-т.; 75.0; -1.7;829;0; Да;http://admission.sgmu.ru/;
Саратовский+гос.+техн.+ун-т.; 66.5; 1.8;1098;0; Нет;https://www.sstu.ru/abiturientu/;
Севастопольский+гос.+ун-т.; 65.8; -0.6;1724;0; Да;https://www.sevsu.ru/admission;
Северо-Восточный+федеральный+ун-т.+им.+М.К.+Аммосова; 63.3; -0.8;2284;31; Нет;https://priem.s-vfu.ru/;
Северо-Кавказская+гос.+академия,+г.+Черкесск; 56.5; -7.2;369;0; Да;https://ncsa.ru/page/content/abitur.html;
Северо-Кавказский+горно-металлургический+ин-т.+(гос.+технол.+ун-т.)+,+г.+Владикавказ; 52.8;-6;617;0; Да;https://www.skgmi-gtu.ru/;
Северо-Кавказский+федеральный+ун-т.; 72.1; 1.5;1610;3; Да;https://www.ncfu.ru/for-employee/departments/priemnaya-komissiya/;
Северо-Западный+гос.+медицинский+ун-т.+им.+И.И.Мечникова,+г.+Санкт-Петербург; 78.0; -1.9;595;8; Да;https://szgmu.ru/rus/m/33/;
Северо-Осетинская+гос.+медицинская+академия,+г.+Владикавказ; 70.1; -0.7;377;0; Да;http://sogma.ru/;
Северо-Осетинский+гос.+ун-т.+им.+К.Л.+Хетагурова,+г.+Владикавказ; 65.7; -0.4;540;0; Нет;https://www.nosu.ru/;
Северный+(Арктический)+федеральный+ун-т.+им.+М.В.+Ломоносова; 66.0; -2.5;1708;1; Да;https://narfu.ru/entrant/priem/;
Северный+гос.+медицинский+ун-т.,+г.+Архангельск; 69.8; -2.3;474;1; Да;http://www.nsmu.ru/abitur/;
Сибирский+гос.+автомобильно-дорожный+ун-т.,+г.+Омск; 62.5; -0.7;546;0; Нет;https://sibadi.org/;
Сибирский+гос.+индустриальный+ун-т.,+г.+Новокузнецк; 65.3; 2.3;1095;1; Нет;https://www.sibsiu.ru/abiturientu/priemnaya-kampaniya-new/;
Сибирский+гос.+медицинский+ун-т.,+г.+Томск; 73.8; -0.2;996;17; Да;https://abiturient.ssmu.ru/;
Сибирский+гос.+ун-т.+науки+и+технологий+им.+М.Ф.+Решетнева,+г.+Красноярск; 62.6; -0.4;1952;2; Да;https://abiturient.sibsau.ru/;
Сибирский+гос.+ун-т.+геосистем+и+технологий,+г.+Новосибирск; 67.8;-1;489;0; Нет;https://sgugit.ru/abitur/;
Сибирский+гос.+ун-т.+водного+транспорта; 55.4; -3.2;593;0; Нет;http://www.ssuwt.ru/;
Сибирский+гос.+ун-т.+путей+сообщения,+г.+Новосибирск; 62.6; -2.8;562;2; Да;https://www.stu.ru/abiturient/;
Сибирский+гос.+ун-т.+телекоммуникаций+и+информатики,+г.+Новосибирск; 65.5;-4;948;0; Да;https://sibsutis.ru/applicants/;
Сибирский+федеральный+ун-т.; 70.1;-1;3337;8; Да;https://admissions.sfu-kras.ru/contacts;
Тихоокеанский+гос.+медицинский+ун-т.,+г.+Владивосток; 65.1; -1.6;503;0; Нет;https://tgmu.ru/abitur/;
Тихоокеанский+гос.+ун-т.,+г.+Хабаровск; 65.8; -1.2;1122;0; Да;https://pnu.edu.ru/ru/applicant/training/about/;
Тольяттинский+гос.+ун-т.; 64.4; -0.8;834;0; Да;https://priem.tltsu.ru/;
Томский+гос.+архитектурно-строительный+ун-т.; 70.6; 0.5;670;0; Нет;https://tsuab.ru/departments/admissionCommittee;
Томский+гос.+педагогический+ун-т.; 66.4; -1.6;485;1; Да;https://abiturient.tspu.edu.ru/;
Томский+гос.+ун-т.+систем+управления+и+радиоэлектроники; 68.7; -0.3;1236;3; Нет;https://abiturient.tusur.ru/;
Сочинский+гос.+ун-т.; 66.6; -1.6;412;0; Нет;https://sutr.ru/applicants/the_admissions_committee/38/;
Тверской+гос.+медицинский+ун-т.; 76.3;-2;361;0; Да;https://tvgmu.ru/docs/%D0%9F%D1%80%D0%B8%D1%91%D0%BC%D0%BD%D0%B0%D1%8F%20%D0%BA%D0%BE%D0%BC%D0%B8%D1%81%D1%81%D0%B8%D1%8F;
Тверской+гос.+техн.+ун-т.; 61.6; -0.4;552;0; Нет;https://priem.tversu.ru/;
Тверской+гос.+ун-т.; 68.6; -3.5;856;0; Да;https://priem.tversu.ru/;
Смоленский+гос.+медицинский+ун-т.; 71.9; -0.6;494;0; Да;http://smolgmu.ru/abitur/abitur.html;
Смоленский+гос.+ун-т.; 71.0; 1.8;321;0; Да;http://abiturient.smolgu.ru/;
Ставропольский+гос.+аграрный+ун-т.; 62.2; 0.8;565;0; Да;http://www.stgau.ru/abiturient/;
Ставропольский+гос.+педагогический+ин-т.; 67.2; 0.1;440;0; Нет;https://sspi.ru/abitur/;
Ставропольский+гос.+медицинский+ун-т.; 71.4; -1.2;490;0; Да;https://stgmu.ru/?s=abiturient&page=10000186;
Стерлитамакский+филиал+Башкирского+государственного+ун-т.а; 66.5; 1.8;387;0; Да;https://strbsu.ru/Abitur;
Сыктывкарский+гос.+ун-т.; 67.6; 0.4;750;1; Нет;https://www.syktsu.ru/abitur/contact/;
Тульский+гос.+педагогический+ун-т.+им.+Л.Н.+Толстого; 66.9;-4;734;3; Нет;https://tsput.ru/;
Тульский+гос.+ун-т.; 65.7; -2.2;1393;0; Да;https://abitur71.tsu.tula.ru/;
Тувинский+гос.+ун-т.,+г.+Кызыл; 62.9;7;663;0; Да;https://moeobrazovanie.ru/tuvgu?supply;
Сургутский+гос.+педагогический+ун-т.; 66.6; 0.3;420;0; Нет;https://www.surgpu.ru/Abitur/;
Сургутский+гос.+ун-т.+Ханты-Мансийского+автономного+округа+—+Югры; 69.2; 0.6;908;0; Нет;https://abiturient.surgu.ru/ru/adres-i-chasy-raboty-priemnoy-komissii;
Тюменский+индустриальный+ун-т.; 66.1;-1;2206;2; Да;https://www.tyuiu.ru/abitur/contacts/;
Тюменский+гос.+медицинский+ун-т.; 74.3; -2.1;563;2; Нет;https://www.tyumsmu.ru/abitur/;
Тюменский+гос.+ун-т.; 77.9; -0.8;1408;18; Да;https://abiturient.utmn.ru/;
Пензенский+гос.+аграрный+ун-т.; 54.0;-1;395;0; Да;https://pgau.ru/abitur;
Пензенский+гос.+технол.+ун-т.; 63.5; -2.6;409;0; Нет;https://www.pnzgu.ru/Abitur/abitur_2021;
Пензенский+гос.+ун-т.; 69.6; -2.1;1522;9; Да;https://www.pnzgu.ru/Abitur/abitur_2021;
Пензенский+гос.+ун-т.+архитектуры+и+строительства; 65.6; 2.6;540;25; Да;http://pguas.ru/abitur;
Петербургский+гос.+ун-т.+путей+сообщения; 64.5; -0.1;1016;0; Нет;https://priem.pgups.ru/;
Петрозаводский+гос.+ун-т.; 70.2; 0.6;1336;1; Нет;https://petrsu.ru/page/aggr/abit;
Первый+гос.+московский+медицинский+ун-т.+им.+И.М.+Сеченова; 84.4; -0.6;1861;230; Да;https://mskvuz.com/mgmu;
Первый+Санкт-Петербургский+гос.+медицинский+ун-т.+им.+И.П.+Павлова; 80.3; -1.8;696;3; Да;https://www.1spbgmu.ru/obrazovanie/priemnaya-komissiya;
Пермский+национальный+исследовательский+политехн.+ун-т.; 69.0; -0.2;1822;0; Нет;https://pstu.ru/enrollee/;
Пермский+гос.+аграрно-технол.+ун-т.+им.+академика+Д.Н.+Прянишникова; 61.8; 1.5;585;0; Нет;https://pgsha.ru/candidate/;
Пермский+гос.+национальный+исследовательский+ун-т.; 71.8; -2.5;1472;2; Нет;http://www.psu.ru/postupayushchim-v-permskij-universitet;
Пермский+гос.+гуманитарно-педагогический+ун-т.; 69.5; -1.6;555;0; Да;https://pspu.ru/enrollee/prijemnaja-komissija;
Пермский+гос.+медицинский+ун-т.; 71.8; 0.5;491;0; Да;https://abit.psma.ru/;
Поволжский+гос.+технол.+ун-т.,+г.+Йошкар-Ола; 68.3; 2.4;1301;0; Нет;https://www.volgatech.net/;
Поволжский+гос.+ун-т.+телекоммуникаций+и+информатики,+г.+Самара; 62.7; 0.4;820;0; Нет;https://www.psuti.ru/;
Псковский+гос.+ун-т.; 67.8; -2.5;600;0; Нет;https://pskgu.ru/page/f5a8a217-f18f-42a0-b43c-4ed96ccaa05f#:~:text=%D0%A2%D0%95%D0%9B%D0%95%D0%A4%D0%9E%D0%9D%20%D0%93%D0%9E%D0%A0%D0%AF%D0%A7%D0%95%D0%99%20%D0%9B%D0%98%D0%9D%D0%98%D0%98%20%D0%9F%D0%A0%D0%98%D0%95%D0%9C%D0%9D%D0%9E%D0%99%20%D0%9A%D0%9E%D0%9C%D0%98%D0%A1%D0%A1%D0%98%D0%98,%D0%B2%D1%85%D0%BE%D0%B4%20%D1%81%D0%BE%20%D1%81%D1%82%D0%BE%D1%80%D0%BE%D0%BD%D1%8B%20%D1%83%D0%BD%D0%B8%D0%B2%D0%B5%D1%80%D1%81%D0%B8%D1%82%D0%B5%D1%82%D1%81%D0%BA%D0%BE%D0%B3%D0%BE%20%D1%81%D0%BA%D0%B2%D0%B5%D1%80%D0%B0.;
Приволжский+исследовательский+медицинский+ун-т.,+г.+Нижний+Новгород; 76.2; -3.2;475;0; Да;https://pimunn.ru/priemna1kurs;
