Название;Средний балл ЕГЭ;Рост/Падение;Количество студентов, зачисленных на бюджет;Количество БВИ;Средний балл с вычетом ИД?;Форма обучения;Количество бюджетных мест на специальности;Средний балл;Стоимость;Форма обучения;Количество бюджетных мест на специальности;Средний балл;Стоимость;Id лого;Адрес;Наличие военной кафедры;Наличие отсрочки от армии;Ссылка на документ о приеме
 Владимирский государственный университет; 64.0; -1.9; 1420; 0; Да;бакалавриат;20;120.0;155900;0;0;0;0;73d9f15a-7469-4a82-8a6f-2d21b03fd7d7;600000, г.Владимир, ул.Горького, 87;False;True;https://prkom.vlsu.ru/plan.html
 Волгоградский государственный университет; 69.0; -0.9; 969; 1; Да;бакалавриат;55;139.0;160000;0;0;0;0;630dd527-b5c6-45bd-81b1-48a876f68301;400062, Волгоградская область, г. Волгоград, просп. Университетский, д. 100;False;False;https://volsu.ru/Abitur/plany-priema.php
 Воронежский государственный технический университет; 66.2; 2; 1942; 6; Нет;бакалавриат;18;123.0;143640;0;0;0;0;cefffdd8-1e73-49e7-b507-eafa1da4f8f9;394006, г. Воронеж, ул. 20-летия Октября, 84;True;True;https://cchgeu.ru/upload/abiturientu/info/2020/Plan-priema-2021.pdf
 Воронежский государственный университет; 74.2; -0.2; 1734; 4; Нет;бакалавриат;18;123.0;143640;0;0;0;0;cefffdd8-1e73-49e7-b507-eafa1da4f8f9;394006, г. Воронеж, ул. 20-летия Октября, 84;True;True;https://cchgeu.ru/upload/abiturientu/info/2020/Plan-priema-2021.pdf
 Ивановский государственный университет; 67.5; -0.3; 383; 0; Да;бакалавриат;0;0.0;109720;0;0;0;0;8721cead-896a-4bbd-b64d-955b4f398272;153000, г. Иваново, Шереметевский просп., 7;False;True;https://www.isuct.ru/Abitur
 Ивановский государственный химико-технологический университет; 62.2; -1.1; 587; 0; Нет;бакалавриат;0;0.0;109720;0;0;0;0;8721cead-896a-4bbd-b64d-955b4f398272;153000, г. Иваново, Шереметевский просп., 7;False;True;https://www.isuct.ru/Abitur
 Ижевский государственный технический университет имени М.Т. Калашникова; 65.8; -1.3; 981; 4; Да;бакалавриат;18;172.0;136400;магистратура;0;0.0;55000;b04905e5-ddcb-49bc-afac-750a9658514c;426069, Удмуртская Республика, г. Ижевск, ул. Студенческая, д. 7;False;False;https://istu.ru/storage/priem/priem-2021/%D0%9A%D0%A6%D0%9F%20%D0%BE%D0%B1%D1%83%D1%87%D0%B0%D1%8E%D1%89%D0%B8%D1%85%D1%81%D1%8F%20%D0%BD%D0%B0%201%20%D0%BA%D1%83%D1%80%D1%81%20%D0%B2%202021-2022%20%D1%83%D1%87%D0%B5%D0%B1%D0%BD%D0%BE%D0%BC%20%D0%B3%D0%BE%D0%B4%D1%83.pdf
 Казанский (Приволжский) федеральный университет; 80.0; -0.5; 2893; 10; Да;бакалавриат;25;245.0;209220;0;0;0;0;cf12a1e1-a102-467f-a2df-f2a96ef1e8ad;420008, Республика Татарстан, г. Казань, ул. Кремлевская, д.18;False;True;https://admissions.kpfu.ru/priem-v-universitet/plan-priema-2021-kolichestvo-mest-vstupitelnye-ispytaniya-i-minimalnye-bally
 МИРЭА - Российский технологический университет; 81.5; 1.6; 3031; 54; Да;бакалавриат;30;212.0;219200;магистратура;10;;252000;fa7b2da0-a4f0-466b-a6cc-363b8a4f9b10;119454, г. Москва, просп. Вернадского, д. 78;True;True;https://priem.mirea.ru/first-degree/list/head
 Московский авиационный институт (национальный исследовательский университет); 78.5; 1; 2790; 22; Да;бакалавриат;21;204.0;;0;0;0;0;f43a93df-e3d5-401e-93a4-671357cffc11;125993, г.Москва, Волоколамское шоссе, д.4;True;True;https://mai.ru/science/postgraduate/kcp/
 Пензенский государственный университет; 69.6; -2.1; 1522; 9; Да;бакалавриат;20;0.0;139860;0;0;0;0;f1bb004b-e12d-4f4d-9be1-54e0320dd3f3;440026, г.Пенза, ул.Красная, 40;True;True;https://pnzgu.ru/files/pnzgu.ru/abitur/2021/bak_spec/obschee_kolichestvo_mest_bs2021.pdf
 Пермский государственный национальный исследовательский университет; 71.8; -2.5; 1472; 2; Нет;бакалавриат;25;137.0;173000;магистратура;5;48.0;184400;2801b9c9-a027-4b63-826a-b9aed8d1b98a;614068, г.Пермь, ул.Букирева, 15;False;True;http://www.psu.ru/universitet/normativnye-dokumenty/bazovye-normativnye-dokumenty/pravila-priema/pravila-priema-v-2022-godu-bakalavriat-specialitet#p1
 Санкт-Петербургский государственный университет; 92.0; 0.1; 2136; 366; Да;бакалавриат;60;229.0;262000;0;0;0;0;0ae75d13-1a39-41d8-adf3-ce75c83764b0;197022, Россия, Санкт-Петербург, ул. Профессора Попова, дом 5 литера Ф;True;True;https://etu.ru/assets/files/ru/postupaushim/priyom-na-1-y-kurs/2022/kolichestvo-mest-dlya-priema-na-obuchenie.pdf?date=01.02.2022
 Санкт-Петербургский политехнический университет Петра Великого; 82.6; 0.2; 2958; 133; Да;бакалавриат;26;230.0;210000;0;0;0;0;e3d73e9c-9ffd-46e8-a231-64ba108cb256;195251, г.Санкт-Петербург, ул.Политехническая, 29;True;True;https://www.spbstu.ru/abit/bachelor/apply/perechen-napravleniy-podgotovki/
 Томский государственный университет систем управления и радиоэлектроники; 68.7; -0.3; 1236; 3; Нет;бакалавриат;36;170.0;91915;0;0;0;0;86d8ad91-16a5-492e-89c4-f89e877684aa;634050, Россия, г. Томск, пр. Ленина, 40;False;True;https://abiturient.tusur.ru/storage/139741/KCP-byudzhet_i_PVZ_ochnoe_na_2021_na_AJT%2029_10.pdf
 Уральский федеральный университет имени Б.Н. Ельцина; 76.2; -1.4; 4422; 122; Да;бакалавриат;25;201.0;137600;магистратура;824;41.0;175800;f255a4e8-15cf-45d0-a121-19f6f61d0c5d;620002, Свердловская область, г. Екатеринбург, ул. Мира, д. 19;True;True;https://urfu.ru/fileadmin/user_upload/urfu.ru/documents/applicant/2021/postuplenie-vo/Plan_priema_bakalavriat_specialitet_2021.pdf
 Южный федеральный университет; 76.7; 0.2; 3088; 34; Да;бакалавриат;25;188.0;174000;магистратура;7;50.0;177000;496e4998-457b-4fed-bc13-18b6158ac498;344006, г.Ростов-на-Дону, ул.Большая Садовая, д. 105/42;True;True;https://sfedu.ru/www/stat_pages22.show?p=ABT/N8206/P
